MURPUTJA,3
MUTITJULU,2
NAMATJIRA,2
NAPPERBY STATION,2
NGAANYATJARRA-GILES,4
NYAPARI,3
NYIRRIPI,2
PAPUNYA,2
PATJARR,4
PETERMANN,2
PIPALYATJARA,3
PUKATJA,3
SANDOVER,2
SANTA TERESA,2
TELEGRAPH STATION,2
TI TREE,2
TIEYON,3
TITJIKALA,2
TJIRRKARLI,4
TJUKURLA,4
UMUWA,3
WALLACE ROCKHOLE,2
WANARN,4
WATARRU,3
WATINUMA,3
WILLOWRA,2
WILORA,2
WINGELLINA,4
WUTUNUGURRA,2
YUELAMU,2
YUENDUMU,2
YULARA,2
YUNYARINYI,3
AMOONGUNA,2
ARUMBERA,2
CONNELLAN,2
HEAVITREE GAP CPA,2
ILPARPA,2
KILGARIFF,2
IRLPME,2
MOUNT JOHNS,2
UNDOOLYA,2
GAPUWIYAK,2
GUNYANGARA,2
YIRRKALA,2
NHULUNBUY,2
ALYANGULA,2
JABIRU,2
WINNELLIE,2
CHARLES DARWIN UNIVERSITY,2
AUSTRALIA SQUARE,5
GROSVENOR PLACE,5
ROYAL EXCHANGE,5
QUEEN VICTORIA BUILDING,5
KINGS CROSS,5
SOUTHERN SUBURBS MC,5
HURSTVILLE BC,5
WEST CHATSWOOD,5
HORNSBY WESTFIELD,5
NORTH RYDE BC,5
SEVEN HILLS MC,5
WETHERILL PARK DC,5
BARANGAROO,5
DAWES POINT,5
HAYMARKET,5
MILLERS POINT,5
PARLIAMENT HOUSE,5
SYDNEY SOUTH,5
SYDNEY,5
WORLD SQUARE,5
ALEXANDRIA MC,5
EASTERN SUBURBS MC,5
THE UNIVERSITY OF SYDNEY,5
ULTIMO,5
CHIPPENDALE,5
PYRMONT,5
DARLINGHURST,5
SURRY HILLS,5
ELIZABETH BAY,5
POTTS POINT,5
RUSHCUTTERS BAY,5
WOOLLOOMOOLOO,5
STRAWBERRY HILLS,5
ALEXANDRIA,5
EVELEIGH,5
REDFERN,5
WATERLOO DC,5
ZETLAND,5
EASTLAKES,5
BANKSMEADOW,5
BOTANY,5
MASCOT,5
SYDNEY DOMESTIC AIRPORT,5
SYDNEY INTERNATIONAL AIRPORT,5
MOORE PARK,5
BONDI JUNCTION,5
BELLEVUE HILL,5
BRONTE,5
WOOLLAHRA,5
BONDI,5
BONDI BEACH,5
NORTH BONDI,5
TAMARAMA,5
DARLING POINT,5
EDGECLIFF,5
HMAS RUSHCUTTERS,5
POINT PIPER,5
DOUBLE BAY,5
DOVER HEIGHTS,5
HMAS WATSON,5
ROSE BAY NORTH,5
VAUCLUSE,5
WATSONS BAY,5
CLOVELLY,5
CLOVELLY WEST,5
RANDWICK,5
RANDWICK DC,5
ST PAULS,5
DACEYVILLE,5
SOUTH COOGEE,5
MAROUBRA,5
MAROUBRA SOUTH,5
PAGEWOOD,5
EASTGARDENS,5
HILLSDALE,5
LA PEROUSE,5
LITTLE BAY,5
MALABAR,5
MATRAVILLE,5
PHILLIP BAY,5
PORT BOTANY,5
FOREST LODGE,5
ROZELLE,5
LILYFIELD,5
BALMAIN,5
BALMAIN EAST,5
BIRCHGROVE,5
ERSKINEVILLE,5
ST PETERS DC,5
TEMPE,5
HABERFIELD,5
CANADA BAY,5
CHISWICK,5
FIVE DOCK,5
RODD POINT,5
RUSSELL LEA,5
WAREEMBA,5
DRUMMOYNE,5
WESTGATE,5
PETERSHAM,5
PETERSHAM NORTH,5
MISSENDEN ROAD,5
UNSW SYDNEY,5
NORTHERN SUBURBS MC,5
HMAS PLATYPUS,5
HMAS WATERHEN,5
LAVENDER BAY,5
MCMAHONS POINT,5
NORTH SYDNEY,5
NORTH SYDNEY SHOPPINGWORLD,5
WAVERTON,5
KIRRIBILLI,5
MILSONS POINT,5
CAMMERAY,5
ARTARMON,5
CROWS NEST DC,5
GREENWICH,5
NAREMBURN,5
ROYAL NORTH SHORE HOSPITAL,5
WOLLSTONECRAFT,5
LANE COVE,5
LANE COVE DC,5
LANE COVE NORTH,5
LANE COVE WEST,5
LINLEY POINT,5
LONGUEVILLE,5
CHATSWOOD,5
CHATSWOOD WEST,5
CASTLECRAG,5
MIDDLE COVE,5
NORTH WILLOUGHBY,5
WILLOUGHBY EAST,5
WILLOUGHBY NORTH,5
CASTLE COVE,5
ROSEVILLE,5
ROSEVILLE CHASE,5
EAST LINDFIELD,5
LINDFIELD,5
LINDFIELD WEST,5
EAST KILLARA,5
PYMBLE,5
WEST PYMBLE,5
NORTH TURRAMURRA,5
SOUTH TURRAMURRA,5
TURRAMURRA,5
WARRAWEE,5
ST IVES CHASE,5
NORMANHURST,5
NORTH WAHROONGA,5
WAHROONGA,5
ASQUITH,5
HORNSBY,5
HORNSBY HEIGHTS,5
WAITARA,5
MOUNT COLAH,5
MOUNT KURING-GAI,5
BEROWRA,5
COWAN,5
BEROWRA CREEK,5
BEROWRA HEIGHTS,5
BEROWRA WATERS,5
BAR POINT,5
CHEERO POINT,5
COGRA BAY,5
DANGAR ISLAND,5
MILSONS PASSAGE,5
MOONEY MOONEY,5
COTTAGE POINT,5
DUFFYS FOREST,5
TERREY HILLS,5
BELROSE,5
BELROSE WEST,5
DAVIDSON,5
FRENCHS FOREST,5
FRENCHS FOREST EAST,5
KILLARNEY HEIGHTS,5
MOSMAN,5
SPIT JUNCTION,5
KURRABA POINT,5
NEUTRAL BAY,5
NEUTRAL BAY JUNCTION,5
CREMORNE JUNCTION,5
CREMORNE POINT,5
HMAS PENGUIN,5
BALGOWLAH,5
BALGOWLAH HEIGHTS,5
MANLY VALE,5
NORTH BALGOWLAH,5
FAIRLIGHT,5
MANLY EAST,5
CURL CURL,5
COLLAROY BEACH,5
COLLAROY PLATEAU,5
WHEELER HEIGHTS,5
DEE WHY,5
NARRAWEENA,5
NORTH CURL CURL,5
ALLAMBIE HEIGHTS,5
BEACON HILL,5
BROOKVALE,5
NORTH MANLY,5
OXFORD FALLS,5
WARRINGAH MALL,5
ELANORA HEIGHTS,5
INGLESIDE,5
NARRABEEN,5
NORTH NARRABEEN,5
WARRIEWOOD,5
WARRIEWOOD DC,5
WARRIEWOOD SHOPPING SQUARE,5
MONA VALE,5
BAYVIEW,5
CHURCH POINT,5
ELVINA BAY,5
LOVETT BAY,5
MCCARRS CREEK,5
MORNING BAY,5
SCOTLAND ISLAND,5
NEWPORT BEACH,5
AVALON BEACH,5
BILGOLA BEACH,5
BILGOLA PLATEAU,5
CLAREVILLE,5
WHALE BEACH,5
COASTERS RETREAT,5
CURRAWONG BEACH,5
GREAT MACKEREL BEACH,5
MACQUARIE UNIVERSITY,5
HUNTERS HILL,5
WOOLWICH,5
BORONIA PARK,5
GLADESVILLE,5
HENLEY,5
HUNTLEYS COVE,5
HUNTLEYS POINT,5
MONASH PARK,5
TENNYSON POINT,5
DENISTONE EAST,5
PUTNEY,5
RYDE,5
BLENHEIM ROAD,5
EAST RYDE,5
MACQUARIE CENTRE,5
MACQUARIE PARK,5
NORTH RYDE,5
DENISTONE,5
DENISTONE WEST,5
WEST RYDE,5
ERMINGTON,5
RYDALMERE,5
DUNDAS VALLEY,5
TELOPEA,5
CARLINGFORD,5
CARLINGFORD COURT,5
CARLINGFORD NORTH,5
KINGSDENE,5
BEECROFT,5
PENNANT HILLS,5
THORNLEIGH,5
WESTLEIGH,5
NORTH EPPING,5
MARSFIELD,5
WEST PENNANT HILLS,5
CHERRYBROOK,5
SYDNEY OLYMPIC PARK,5
WENTWORTH POINT,5
SYDNEY MARKETS,5
ENFIELD SOUTH,5
BURWOOD NORTH,5
STRATHFIELD SOUTH,5
BREAKFAST POINT,5
CONCORD,5
NORTH STRATHFIELD,5
CONCORD WEST,5
CONCORD WEST DC,5
LIBERTY GROVE,5
RHODES,5
CONCORD REPATRIATION HOSPITAL,5
HOMEBUSH SOUTH,5
HOMEBUSH WEST,5
BERALA,5
LIDCOMBE,5
LIDCOMBE NORTH,5
BLAXCELL,5
CAMELLIA,5
HOLROYD,5
SOUTH GRANVILLE,5
BIRRONG,5
POTTS HILL,5
REGENTS PARK DC,5
CONSTITUTION HILL,5
GREYSTANES,5
MAYS HILL,5
PEMULWUY,5
PENDLE HILL,5
SOUTH WENTWORTHVILLE,5
WENTWORTHVILLE,5
WESTMEAD,5
OLD TOONGABBIE,5
TOONGABBIE EAST,5
KINGS LANGLEY,5
LALOR PARK,5
SEVEN HILLS WEST,5
ARNDELL PARK,5
BLACKTOWN,5
BLACKTOWN WESTPOINT,5
HUNTINGWOOD,5
MARAYONG,5
HARRIS PARK,5
PARRAMATTA,5
PARRAMATTA WESTFIELD,5
NORTH PARRAMATTA,5
NORTH ROCKS,5
NORTHMEAD,5
BAULKHAM HILLS,5
BELLA VISTA,5
NORWEST,5
WINSTON HILLS,5
BEAUMONT HILLS,5
KELLYVILLE,5
KELLYVILLE RIDGE,5
NORTH KELLYVILLE,5
ROUSE HILL,5
ANNANGROVE,5
GLENHAVEN,5
KENTHURST,5
CANOELANDS,5
GLENORIE,5
DURAL DC,5
MIDDLE DURAL,5
ROUND CORNER,5
BERRILEE,5
FIDDLETOWN,5
GALSTON,5
MERRYLANDS,5
MERRYLANDS WEST,5
GUILDFORD WEST,5
OLD GUILDFORD,5
YENNORA,5
CHESTER HILL,5
SEFTON,5
VILLAWOOD,5
WETHERILL PARK,5
WETHERILL PARK BC,5
WOODPARK,5
FAIRFIELD EAST,5
FAIRFIELD HEIGHTS,5
FAIRFIELD WEST,5
CABRAMATTA,5
CABRAMATTA WEST,5
CANLEY HEIGHTS,5
CANLEY VALE,5
LANSVALE,5
ASHCROFT,5
BUSBY,5
CARTWRIGHT,5
HECKENBERG,5
MILLER,5
SADLEIR,5
CASULA,5
CASULA MALL,5
CHIPPING NORTON,5
HAMMONDVILLE,5
LIVERPOOL,5
LIVERPOOL SOUTH,5
LIVERPOOL WESTFIELD,5
LURNEA,5
MOOREBANK,5
MOUNT PRITCHARD,5
PRESTONS,5
WARWICK FARM,5
CARNES HILL,5
CECIL HILLS,5
ELIZABETH HILLS,5
HORNINGSEA PARK,5
HOXTON PARK,5
LEN WATERS ESTATE,5
MIDDLETON GRANGE,5
WEST HOXTON,5
PLEASURE POINT,5
VOYAGER POINT,5
HOLSWORTHY,5
EDMONDSON PARK,5
HORSLEY PARK,5
ABBOTSBURY,5
BOSSLEY PARK,5
EDENSOR PARK,5
GREENFIELD PARK,5
PRAIRIEWOOD,5
ST JOHNS PARK,5
WAKELEY,5
BONNYRIGG,5
BONNYRIGG HEIGHTS,5
CECIL PARK,5
KEMPS CREEK,5
MOUNT VERNON,5
AUSTRAL,5
LEPPINGTON,5
CHULLORA,5
GREENACRE,5
BELFIELD,5
BELMORE,5
ASHBURY,5
HURLSTONE PARK,5
CAMPSIE,5
LAKEMBA,5
LAKEMBA DC,5
WILEY PARK,5
ROSELANDS,5
BASS HILL,5
GEORGES HALL,5
YAGOONA,5
YAGOONA WEST,5
BANKSTOWN,5
BANKSTOWN AERODROME,5
BANKSTOWN NORTH,5
BANKSTOWN SQUARE,5
CONDELL PARK,5
MANAHAN,5
MOUNT LEWIS,5
DULWICH HILL,5
MARRICKVILLE,5
MARRICKVILLE METRO,5
MARRICKVILLE SOUTH,5
ARNCLIFFE,5
TURRELLA,5
WOLLI CREEK,5
CLEMTON PARK,5
EARLWOOD,5
BARDWELL PARK,5
BARDWELL VALLEY,5
BEXLEY,5
BEXLEY NORTH,5
BEXLEY SOUTH,5
KINGSGROVE,5
KINGSGROVE DC,5
KINGSWAY WEST,5
BEVERLY HILLS,5
NARWEE,5
LUGARNO,5
PEAKHURST,5
PEAKHURST DC,5
PEAKHURST HEIGHTS,5
RIVERWOOD,5
PADSTOW,5
PADSTOW HEIGHTS,5
REVESBY,5
REVESBY HEIGHTS,5
REVESBY NORTH,5
EAST HILLS,5
PANANIA,5
PICNIC POINT,5
MILPERRA,5
BANKSIA,5
BRIGHTON-LE-SANDS,5
KYEEMAGH,5
ROCKDALE,5
ROCKDALE DC,5
BEVERLEY PARK,5
KOGARAH,5
KOGARAH BAY,5
MONTEREY,5
RAMSGATE,5
RAMSGATE BEACH,5
ALLAWAH,5
DOLLS POINT,5
SANS SOUCI,5
HURSTVILLE,5
HURSTVILLE GROVE,5
HURSTVILLE WESTFIELD,5
BLAKEHURST,5
CARSS PARK,5
CONNELLS POINT,5
KYLE BAY,5
SOUTH HURSTVILLE,5
MORTDALE,5
OATLEY,5
SYLVANIA,5
SYLVANIA SOUTHGATE,5
SYLVANIA WATERS,5
OYSTER BAY,5
BONNET BAY,5
JANNALI,5
GYMEA,5
GYMEA BAY,5
YOWIE BAY,5
CARINGBAH,5
CARINGBAH SOUTH,5
DOLANS BAY,5
PORT HACKING,5
TAREN POINT,5
BUNDEENA,5
BURRANEER,5
CRONULLA,5
GREENHILLS BEACH,5
MAIANBAR,5
WOOLOOWARE,5
KURNELL,5
GRAYS POINT,5
KAREELA,5
KIRRAWEE,5
KIRRAWEE DC,5
LOFTUS,5
ROYAL NATIONAL PARK,5
WORONORA,5
ENGADINE,5
WATERFALL,5
WORONORA HEIGHTS,5
YARRAWARRAH,5
ALFORDS POINT,5
BARDEN RIDGE,5
ILLAWONG,5
LUCAS HEIGHTS,5
MENAI,5
MENAI CENTRAL,5
BUCKETTY,5
CALGA,5
CENTRAL MANGROVE,5
EAST GOSFORD,5
ERINA,5
ERINA FAIR,5
GLENWORTH VALLEY,5
GOSFORD,5
GREENGROVE,5
HOLGATE,5
KARIONG,5
KULNURA,5
LISAROW,5
LOWER MANGROVE,5
MANGROVE CREEK,5
MANGROVE MOUNTAIN,5
MATCHAM,5
MOONEY MOONEY CREEK,5
MOUNT WHITE,5
NARARA,5
NIAGARA PARK,5
NORTH GOSFORD,5
PEATS RIDGE,5
POINT CLARE,5
POINT FREDERICK,5
SOMERSBY,5
TASCOTT,5
TEN MILE HOLLOW,5
UPPER MANGROVE,5
WENDOREE PARK,5
WEST GOSFORD,5
WYOMING,5
AVOCA BEACH,5
BENSVILLE,5
BOUDDI,5
COPACABANA,5
DAVISTOWN,5
KINCUMBER,5
KINCUMBER SOUTH,5
MACMASTERS BEACH,5
PICKETTS VALLEY,5
SARATOGA,5
CENTRAL COAST MC,5
HORSFIELD BAY,5
KOOLEWONG,5
LITTLE WOBBY,5
PATONGA,5
PEARL BEACH,5
PHEGANS BAY,5
WONDABYNE,5
WOY WOY,5
WOY WOY BAY,5
BOOKER BAY,5
BOX HEAD,5
DALEYS POINT,5
EMPIRE BAY,5
ETTALONG BEACH,5
HARDYS BAY,5
KILLCARE,5
KILLCARE HEIGHTS,5
ST HUBERTS ISLAND,5
UMINA BEACH,5
WAGSTAFFE,5
FOUNTAINDALE,5
KANGY ANGY,5
OURIMBAH,5
BUSHELLS RIDGE,5
CEDAR BRUSH CREEK,5
CHAIN VALLEY BAY,5
CRANGAN BAY,5
DOORALONG,5
DURREN DURREN,5
FRAZER PARK,5
FREEMANS,5
GWANDALAN,5
HALLORAN,5
HAMLYN TERRACE,5
JILLIBY,5
KANWAL,5
KIAR,5
KINGFISHER SHORES,5
LAKE MUNMORAH,5
LEMON TREE,5
LITTLE JILLIBY,5
MANNERING PARK,5
MARDI,5
MOONEE,5
POINT WOLSTONCROFT,5
RAVENSDALE,5
SUMMERLAND POINT,5
TACOMA,5
TACOMA SOUTH,5
TUGGERAH,5
TUGGERAWONG,5
WADALBA,5
WALLARAH,5
WARNERVALE,5
WATANOBBI,5
WOONGARRAH,5
WYBUNG,5
WYEE,5
WYEE POINT,5
WYONG,5
WYONG CREEK,5
WYONGAH,5
YARRAMALONG,5
ERINA HEIGHTS,5
FORRESTERS BEACH,5
NORTH AVOCA,5
TERRIGAL,5
WAMBERAL,5
BATEAU BAY,5
BAY VILLAGE,5
BERKELEY VALE,5
BLUE BAY,5
CHITTAWAY BAY,5
CHITTAWAY POINT,5
GLENNING VALLEY,5
KILLARNEY VALE,5
LONG JETTY,5
THE ENTRANCE,5
THE ENTRANCE NORTH,5
TOOWOON BAY,5
TUMBI UMBI,5
BLUE HAVEN,5
BUDGEWOI,5
BUDGEWOI PENINSULA,5
BUFF POINT,5
COLONGRA,5
DOYALSON,5
DOYALSON NORTH,5
HALEKULANI,5
CANTON BEACH,5
CHARMHAVEN,5
GOROKAN,5
LAKE HAVEN,5
NORAH HEAD,5
NORAVILLE,5
TOUKLEY,5
BALCOLYN,5
BONNELLS BAY,5
BRIGHTWATERS,5
DORA CREEK,5
ERARING,5
MANDALONG,5
MORISSET,5
MORISSET PARK,5
MYUNA BAY,5
SILVERWATER,5
WINDERMERE PARK,5
YARRAWONGA PARK,5
COORANBONG,5
MARTINSVILLE,5
WANGI WANGI,5
BARNSLEY,5
WAKEFIELD,5
BELMONT NORTH,5
BELMONT SOUTH,5
CROUDACE BAY,5
FLORAVILLE,5
JEWELLS,5
MARKS POINT,5
BLACKSMITHS,5
CAMS WHARF,5
CATHERINE HILL BAY,5
CAVES BEACH,5
LITTLE PELICAN,5
MURRAYS BEACH,5
NORDS WHARF,5
PELICAN,5
PINNY BEACH,5
SWANSEA HEADS,5
ELEEBANA,5
WARNERS BAY,5
ARCADIA VALE,5
AWABA,5
BLACKALLS PARK,5
BOLTON POINT,5
BUTTABA,5
CAREY BAY,5
COAL POINT,5
FENNELL BAY,5
FISHING POINT,5
